configuration,window_s,cell,component,point,low,high,se
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,altitude_circuit,-0.013519464972824857,-0.014974921372940925,-0.011948815171134842,0.0009154370829932634
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,altitude_equipment,0.001092535487125068,-0.000450793971617014,0.002559365755910719,0.0009200861185474483
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,circuit_equipment,0.0012113738103692873,0.00018498806311913473,0.0022418784234155883,0.0006137467065177345
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,three_way,0.0039110466564744595,0.0024072498816044676,0.00540344636754928,0.0009191044961476843
calendar_3day_seed20260921,100_1000,alt1_closed_experts,altitude,0.000982105207501749,-0.0005040004081943498,0.0024662122823344568,0.0009116132564930296
calendar_3day_seed20260921,100_1000,alt1_closed_experts,circuit,-0.020863782910879203,-0.022012724014462682,-0.019771013183229647,0.0006951061147170654
calendar_3day_seed20260921,100_1000,alt1_closed_experts,equipment,0.00447996314788035,0.0034850009904019486,0.005540543153327853,0.0005980140446365608
calendar_3day_seed20260921,100_1000,alt1_closed_experts,altitude_circuit,-0.013519464972824857,-0.014974921372940925,-0.011948815171134842,0.0009154370829932634
calendar_3day_seed20260921,100_1000,alt1_closed_experts,altitude_equipment,-0.001092535487124846,-0.002559365755910925,0.00045079397161702485,0.0009200861185474445
calendar_3day_seed20260921,100_1000,alt1_closed_experts,circuit_equipment,-0.0012113738103689542,-0.0022418784234155722,-0.00018498806311881838,0.0006137467065177332
calendar_3day_seed20260921,100_1000,alt1_closed_experts,three_way,-0.0039110466564746815,-0.00540344636754942,-0.0024072498816044676,0.0009191044961476827
calendar_3day_seed20260921,100_1000,alt2_open_beginners,altitude,-0.0031865440313147975,-0.0042727040929193385,-0.0020645959324201825,0.0006755512819110461
calendar_3day_seed20260921,100_1000,alt2_open_beginners,circuit,0.02086378291087898,0.01977101318322964,0.022012724014462574,0.0006951061147170695
