configuration,seed,contrast,point,low,high,se,se_ratio,contains_zero,site_day_contains_zero
calendar_3day_all_sites,20260922,circuit_altitude_open_0_minus_2,0.05997638759911339,0.05760308390700476,0.06209659174956687,0.0013683931803976307,1.288113471308126,False,False
calendar_3day_all_sites,20260922,circuit_altitude_open_0_minus_3,0.06428534158053834,0.06201182040043585,0.06641991102521372,0.001362386162404789,1.2895925443940546,False,False
calendar_3day_all_sites,20260922,circuit_altitude_open_1_minus_2,0.050845940744160156,0.048299736641386815,0.053139810664213985,0.0014989277902131444,1.258059045769581,False,False
calendar_3day_all_sites,20260922,circuit_altitude_open_1_minus_3,0.0551548947255851,0.05249803191573668,0.0575753954036439,0.001572673965928837,1.3110152683546354,False,False
calendar_3day_all_sites,20260922,circuit_altitude_closed_0_minus_2,-0.020663491370709997,-0.030393303950893052,-0.011896020151124887,0.005619485595361905,1.0439850731463463,False,False
calendar_3day_all_sites,20260922,circuit_altitude_closed_0_minus_3,-0.04130685587627114,-0.052070922020147355,-0.032133013303779885,0.0059907177030921405,1.1115645413560193,False,False
calendar_3day_all_sites,20260922,circuit_altitude_closed_1_minus_2,-0.030262521487525618,-0.03379996666260015,-0.026484813458630015,0.002214763329663997,1.0540265441453425,False,False
calendar_3day_all_sites,20260922,circuit_altitude_closed_1_minus_3,-0.050905885993086764,-0.05469408589829342,-0.04712434261289727,0.002318733829477444,1.0969895952426432,False,False
grid50km_altitude_month_all_years,20260921,open_closed,0.054301860094276955,0.04952976252333295,0.05990574300433523,0.003154415033268545,3.8614804212820095,False,False
grid50km_altitude_month_all_years,20260921,experts_beginners,0.02467126426737709,0.02222081050149886,0.026827847469363796,0.0014202086856846803,1.9463242587595928,False,False
grid50km_altitude_month_all_years,20260921,equipment_alt0,0.013116646245735608,0.010292425720351606,0.015991582457053673,0.001722909291640228,1.2180616809224443,False,False
