configuration,seed,group,archive_groups,contributing_groups,H,H_low,H_high,H_se_ratio,H_interval_width_ratio,MSD_se_ratio_at_100,full_band_width_pct_at_100,MSD_se_ratio_at_1000,full_band_width_pct_at_1000,MSD_se_ratio_at_10000,full_band_width_pct_at_10000
calendar_3day_all_sites,20260921,beginners_lowlands,2412,710,0.9281761575309168,0.9257757476587654,0.930342054671378,1.2122617775901618,1.201568926174938,1.171367558737655,4.051268063192205,1.1782375497498727,5.7300618815113395,1.2082758283635273,9.202696809227946
calendar_3day_all_sites,20260921,beginners_alt0,2412,344,0.9396226270351107,0.9366986615084885,0.9421111504985619,1.2528221265319854,1.241059220930836,1.2231079388805635,6.337299994175143,1.2307728721692426,8.55388917362784,1.2480813628885117,11.920886894512059
calendar_3day_all_sites,20260921,beginners_alt1,2412,591,0.9201659745549252,0.9173289535463347,0.9227215539215249,1.0761560197253195,1.0443434473201938,1.0740219574160006,4.537818744885192,1.0775755321169311,6.458913930905863,1.081286850895923,10.779971127197603
calendar_3day_all_sites,20260921,beginners_alt2,2412,1112,0.8568831605745169,0.8550514761426095,0.8586564469662495,1.3768962303792054,1.4047611619592903,1.7472521065096465,1.871953379104599,1.7545542145752382,2.858167536485875,1.2894393285560215,6.848769865229231
calendar_3day_all_sites,20260921,beginners_alt3,2412,1051,0.8679627559631675,0.8661806194485256,0.87007579557367,1.7535833037969093,1.7575955121104867,2.1269269539041606,2.0770726417044156,2.081956279787626,3.305581433214478,1.704693205621438,7.520725135240993
calendar_3day_all_sites,20260921,experts,2412,1507,0.8945499375018994,0.8928981147666097,0.8962828358133622,1.52815726154018,1.573716613207456,1.6784573779237113,1.8943999942087788,1.635988411599658,2.746160413800689,1.5396380876931879,7.315929708074634
calendar_3day_all_sites,20260921,experts_mountains,2412,1320,0.8806300089723654,0.8792117056259036,0.8820688065910601,1.5973516402470225,1.5796872905172545,1.973363102102755,1.9395067535982329,1.9612330570191026,2.6559075580872515,1.6175078749800866,6.219796619551817
calendar_3day_all_sites,20260921,experts_lowlands,2412,847,0.9416163959274051,0.939162188562314,0.9439409692039386,1.3432134735123475,1.321319172679312,1.3404173596726305,5.595684109949375,1.3475372618076833,7.658529603677297,1.347147710032643,10.756166076542781
calendar_3day_all_sites,20260921,experts_alt0,2412,399,0.9527392732808463,0.9507460962956695,0.9545687991054699,1.1991562856008655,1.1979080441956793,1.1679854182506444,6.344948791994517,1.1801038219459017,8.157439612269535,1.1816594378326033,10.064147618635111
calendar_3day_all_sites,20260921,experts_alt1,2412,717,0.9326933211400794,0.9290731350053762,0.936146387872079,1.3030746240557824,1.3544609871659012,1.282274772856217,6.535984143183669,1.2899260602940772,9.257393785684412,1.304233664683574,14.685581063042019
calendar_3day_all_sites,20260921,experts_alt2,2412,1079,0.8775395582142618,0.875532537799987,0.8795326148809817,1.4372842112501674,1.4530608090381036,1.739935581123086,2.298838782814225,1.7259681851127222,3.3077166928080874,1.4358020424168727,8.662078170733594
calendar_3day_all_sites,20260921,experts_alt3,2412,949,0.88370818820779,0.8821557628253354,0.8854991028957716,1.4737419929518922,1.501808074607508,1.6312006638679482,2.227889914630184,1.625288708998361,3.103692976358356,1.47802502908294,6.987553130822583
calendar_3day_all_sites,20260921,alps,2412,1233,0.8702414810219812,0.8689186687386826,0.8716426076571343,1.8792093276550264,1.886219996735311,2.0346955416861237,1.6063309963648755,2.1348870644838653,2.4124987846276817,1.7749447634605153,5.427698103533047
calendar_3day_all_sites,20260921,pyrenees,2412,501,0.8332766107311821,0.8283549768218637,0.8383494234260107,1.2939436119385228,1.2357689432819299,1.4224833030549586,4.133846714668091,1.3962153358156542,6.532239641845591,1.301608631136745,20.97880748467156
calendar_3day_all_sites,20260921,channel_coast,2412,325,0.953084655928413,0.950170325271926,0.9559237225527489,1.328035822306473,1.2911499883879007,1.33455278291915,10.891815452885531,1.3369925177408128,13.708501941967157,1.3272430194998204,16.075172165825016
calendar_3day_all_sites,20260921,champagne_lorraine,2412,272,0.9550979395870857,0.9529546422788178,0.9570047254355419,1.1666442008341027,1.1762751638099365,1.1781826666708515,6.693892739478753,1.1837694774485574,8.481754497860628,1.1600298507637445,10.617973751549018
calendar_3day_all_sites,20260922,all,2412,1826,0.8822765078884933,0.8808973764373764,0.8836783962090073,1.6612851145189236,1.6380613622898537,1.9556276348508717,1.5221472175637818,1.9601338987715193,2.3265191158212275,1.6283634761595962,5.874299558184144
calendar_3day_all_sites,20260922,open,2412,1549,0.9098750335173964,0.9081789671596311,0.9115394718553965,1.57843507865402,1.5868820779267923,1.5568795748560633,2.1397719992329822,1.5729118102038167,3.2013303470765924,1.571855247413749,6.535294530773626
calendar_3day_all_sites,20260922,closed,2412,1507,0.8555731734231193,0.8537708214127235,0.8573900015458988,2.102044250239623,2.1303010239825264,2.223095332626372,1.8590694194936452,2.332824112942369,2.8690390204068903,2.0922240170594057,7.510325713238663
calendar_3day_all_sites,20260922,alt0,2412,583,0.9495737534704647,0.9477219718441334,0.9512859263009918,1.3090575503965138,1.2840980658501064,1.2837360259611426,5.800037287747869,1.2946638908355852,7.336353032324647,1.2974296565790857,9.199367463526473
