discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,High mountains,fixed long segments,576.0,16855368.527161613,2209,1642,16581699.817621961,17140375.940483514
paragliders,open,High mountains,fixed long segments,649.0,20842097.316319603,2209,1642,20494586.855932206,21202213.539005436
paragliders,open,High mountains,fixed long segments,732.0,25802428.883657765,2209,1642,25365491.011437792,26254375.809305154
paragliders,open,High mountains,fixed long segments,825.0,31916301.47329108,2209,1642,31365140.673519954,32484005.5872371
paragliders,open,High mountains,fixed long segments,931.0,39583185.85310095,2209,1642,38891974.895833336,40301080.24726185
paragliders,open,High mountains,fixed long segments,1049.0,48959651.25124491,2209,1642,48086215.21773349,49861718.01583886
paragliders,open,High mountains,fixed long segments,1183.0,60645886.315980084,2209,1642,59542393.50201902,61791584.60919044
paragliders,open,High mountains,fixed long segments,1334.0,75109771.62562245,2209,1642,73715018.67054789,76552849.6057663
paragliders,open,High mountains,fixed long segments,1504.0,93009277.01222272,2209,1642,91253068.09299394,94823767.07530722
paragliders,open,High mountains,fixed long segments,1695.0,115171199.66727026,2209,1642,112965280.92287491,117448203.49206707
paragliders,open,High mountains,fixed long segments,1911.0,142610267.83340877,2209,1642,139841983.02203745,145449970.67555574
paragliders,open,High mountains,fixed long segments,2155.0,176719386.07967407,2209,1642,173191808.38013884,180378919.1794595
paragliders,open,High mountains,fixed long segments,2429.0,218630037.39610684,2209,1642,214134345.67036733,223262674.8769349
paragliders,open,High mountains,fixed long segments,2739.0,270550129.19873244,2209,1642,264852088.04596138,276383123.6861142
paragliders,open,High mountains,fixed long segments,3088.0,334359329.34540516,2209,1642,327042708.1281118,341738519.07114583
paragliders,open,High mountains,fixed long segments,3481.0,412509224.9090086,2209,1642,403271008.4516139,421884651.51628083
paragliders,open,High mountains,fixed long segments,3925.0,508514004.86283386,2209,1642,496778215.3471991,520659158.1354626
paragliders,open,High mountains,fixed long segments,4425.0,625633122.509733,2209,1642,610568185.6978698,641285819.5258906
paragliders,open,High mountains,fixed long segments,4989.0,768337680.5378,2209,1642,749301563.6224345,788097948.8622273
