discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_1000,month_centred,48,0.011983013392314902,1991,3.079132769311075
para,msd_1000,month_centred,49,0.017720076792527746,1983,3.1009381459126044
para,msd_1000,month_centred,50,0.02298168325404807,1982,3.1225801105217745
para,msd_1000,month_centred,51,0.022877249309648816,1967,3.1442746131170187
para,msd_1000,month_centred,52,0.015127157215694964,1950,3.1660146059705077
para,msd_1000,month_centred,53,0.025639587033430986,1981,3.1875050578565345
para,msd_1000,month_centred,54,0.005868796077426108,1985,3.209149181414687
para,msd_1000,month_centred,55,0.019826273578646265,1954,3.2302196567008123
para,msd_1000,month_centred,56,0.022207842571010758,1950,3.2512456962116705
para,msd_1000,month_centred,57,0.022926033979797616,1948,3.2723132024965693
para,msd_1000,month_centred,58,0.009632449766263056,1924,3.293444795943362
para,msd_1000,month_centred,59,0.027641134341492603,1933,3.3141865879094587
para,msd_1000,month_centred,60,0.01059837949500897,1934,3.3351583579547333
para,msd_1000,month_centred,61,0.0016475691610694603,1945,3.355790016834427
para,msd_1000,month_centred,62,0.04198578051394167,1929,3.3758092857231956
para,msd_1000,month_centred,63,0.011576482665565303,1920,3.3965259041873694
para,msd_1000,month_centred,64,0.023091647258221788,1921,3.4169568934078343
para,msd_10000,month_centred,0,1.0,3642,
para,msd_10000,month_centred,1,0.14874738432567622,2503,1.0
para,msd_10000,month_centred,2,0.05708070762777502,2312,1.1487473843256761
para,msd_10000,month_centred,3,0.03157830139184785,2257,1.2363836508527517
para,msd_10000,month_centred,4,0.008763430567718958,2246,1.2959909348122132
para,msd_10000,month_centred,5,-0.0037795505069587836,2183,1.3352606774149778
para,msd_10000,month_centred,6,0.00936737271107551,2214,1.3601806556478346
para,msd_10000,month_centred,7,0.0442858408312569,2181,1.3806570323030396
para,msd_10000,month_centred,8,0.0051581862256980405,2174,1.4070857750022576
para,msd_10000,month_centred,9,-0.016344440613178305,2171,1.4287877273740266
para,msd_10000,month_centred,10,0.019246669070431658,2183,1.4428804011488063
para,msd_10000,month_centred,11,0.002966727341851701,2130,1.4579101649773407
para,msd_10000,month_centred,12,0.019659925763972647,2155,1.4709294227247616
para,msd_10000,month_centred,13,0.030682990960589605,2172,1.484970321705498
para,msd_10000,month_centred,14,0.022789131871529207,2167,1.501388662397642
para,msd_10000,month_centred,15,0.034758790493604134,2158,1.518656441913704
para,msd_10000,month_centred,16,0.0016860650353079183,2165,1.5381105978019587
