discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Hills,available segments,357.0,5650814.4159340495,18113,13006,5578470.389341654,5729168.990889329
paragliders,Hills,available segments,402.0,6994424.044155262,18105,12999,6903372.529386782,7095029.511053535
paragliders,Hills,available segments,453.0,8675875.995046422,18098,12994,8560176.361037385,8803398.251190798
paragliders,Hills,available segments,511.0,10762172.048826437,18092,12989,10614947.649910742,10925637.596958702
paragliders,Hills,available segments,576.0,13335923.985108228,18086,12987,13151497.533994861,13543892.811903585
paragliders,Hills,available segments,649.0,16520650.784753837,18082,12985,16285395.581457779,16786746.419271354
paragliders,Hills,available segments,732.0,20489663.54876659,18073,12979,20186990.64238673,20826849.90785918
paragliders,Hills,available segments,825.0,25410809.09526089,18056,12970,25023778.83460129,25841282.329988964
paragliders,Hills,available segments,931.0,31561397.15985398,18022,12950,31065769.6105606,32115253.59614518
paragliders,Hills,available segments,1049.0,39119109.37826421,18000,12933,38498984.900180064,39813893.88309454
paragliders,Hills,available segments,1183.0,48563666.830879435,17978,12919,47775166.37021223,49445970.68670633
paragliders,Hills,available segments,1334.0,59919981.892015465,17776,12791,58893634.85629868,61057494.93971268
paragliders,Hills,available segments,1504.0,73817683.95981067,17428,12542,72509863.4877786,75254449.30999617
paragliders,Hills,available segments,1695.0,91113370.25261743,16967,12243,89426379.78075424,92968922.09754731
paragliders,Hills,available segments,1911.0,112640547.25758837,16312,11811,110386708.49287869,115093257.57326914
paragliders,Hills,available segments,2155.0,139862367.93804392,15494,11294,136978661.54114595,143011614.4182218
paragliders,Hills,available segments,2429.0,174172456.49683204,14492,10612,170304794.96338937,178293237.11697823
paragliders,Hills,available segments,2739.0,219738018.16946056,13272,9790,214572498.41755873,225086830.07288846
paragliders,Hills,available segments,3088.0,277470140.0248883,11753,8756,270404507.2587577,284677469.6118673
paragliders,Hills,available segments,3481.0,355519726.5629197,10168,7672,345664789.62122935,365487403.9383752
paragliders,Hills,available segments,3925.0,467066779.15731204,8470,6477,453303998.5812314,481555971.44699025
paragliders,Hills,available segments,4425.0,619815965.7474344,6853,5351,600201542.2606862,640583073.5158951
paragliders,Hills,available segments,4989.0,830811619.9636604,5279,4183,802020637.3338675,861636533.1404684
paragliders,Hills,available segments,5624.0,1135432647.352199,3912,3146,1090058595.7574708,1181120137.8649614
paragliders,Hills,available segments,6341.0,1581517403.5450149,2795,2266,1510808043.5954852,1655453094.1051314
paragliders,Hills,available segments,7149.0,2193596356.451338,1868,1543,2077320633.241601,2313645906.773261
paragliders,Hills,available segments,8059.0,3145301361.2001286,1200,1003,2953756975.5038304,3341070659.4904213
paragliders,Hills,available segments,9086.0,4619617171.011889,757,637,4300089002.827065,4951980296.280095
